0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ZNF331,NRN1,COL14A1,CDKN1C,HCLS1,COL12A1,PGM2L1,GLG1,DDX3Y,ABCC9,ARHGEF2,RHOJ,ARHGEF7,HPGDS,HK2,UNC5B
HCLS1,THBS2,LRP1,NOVA1,MYBL1,CCDC144A,ARHGEF2,HTRA3,ITGAM,IGFBP5,ADIRF,FILIP1,PGM2L1,CCDC102B,CNKSR3,INSR
LY96,IFI44,IGFBP5,UACA,SEPTIN6,ID4,PDGFRB,LAMC1,RNASET2,TPM1,SLF1,APLNR,ARHGEF2,CDH15,SLC1A4,IVNS1ABP
SPI1,NRP1,GLG1,MAP2K3,CRYBG1,C21orf58,MAOB,CLU,EREG,ADIRF,NRN1,DUSP5,PDGFRB,RALGAPA2,MS4A6A,CFI
PHACTR1,EDNRA,C3,COL18A1,CDC42SE2,ETV1,ADIRF,CRISPLD2,GPAT3,GLG1,ELN,GASK1B,ADIRF,ANGPT2,A2M,COL16A1
GNA13,GMFG,C1S,FTH1,GPRIN3,NR2F1,SLF1,THY1,ELF1,TGFBI,THBS2,SPRED1,SLF1,SNTB1,ARHGEF7,IL17B
GRK3,GPR34,CLU,GRN,HLA-F,LAMA2,NRN1,HPGD,PMAIP1,CLU,NRP1,HES1,NRN1,AC105383.1,PGM2L1,SIPA1L2
ITGAM,NCOA7,TPM1,UNC5B,B2M,MS4A6A,THBS2,MMP3,CLEC2B,NID1,EDNRA,PREX1,THBS2,FBLN2,ARHGEF2,UGCG
NCEH1,TMEM184B,LAMB2,INSR,APBB1IP,BORA,NRP1,IFI44L,HLA-DRB5,CRISPLD2,GMFG,ICA1,NRP1,GRB10,PDGFRB,IGFBP3
MARCH1,CCDC80,THBS2,IVNS1ABP,TNFAIP8,KIF14,EDNRA,SNORC,SGK1,C1S,ROBO1,JAG1,EDNRA,ECE1,ADIRF,ACTA2
SELENOP,FAT4,FBLN2,CFI,BCL2,VIT,GMFG,NR2F2,ZFP36,HPGD,BORA,CA2,GMFG,DGKI,SLF1,MFAP5
CXCL2,HPGDS,ADAMTS6,COL16A1,FMNL1,NID1,GPR34,MATN4,AOAH,SNORC,ENPP2,DOCK9,KIF18B,TNFRSF11B,NRN1,HK2
TNFRSF1B,CCDC102B,CCDC80,ENPP1,TNFAIP3,POSTN,NCOA7,LAMB2,GADD45B,MATN4,GPR34,LDB2,GPR34,FAT1,THBS2,CNKSR3
